statenum,casenum,acchr,latitude,longitude,numfatal,age
25,39,15,42.14704722,-71.02611667,1,67
25,39,15,42.14704722,-71.02611667,1,91
25,40,8,42.15260556,-72.15446389,1,22
25,40,8,42.15260556,-72.15446389,1,52
25,41,23,42.10291944,-72.22338611,1,34
25,42,23,41.771575,-71.25066389,2,19
25,42,23,41.771575,-71.25066389,2,20
25,42,23,41.771575,-71.25066389,2,22
25,43,18,42.24476111,-71.76075833,1,49
25,43,18,42.24476111,-71.76075833,1,58
25,44,21,42.21909167,-72.62948056,2,50
25,44,21,42.21909167,-72.62948056,2,70
25,45,3,42.28909167,-72.74286111,1,20
25,46,3,42.30073056,-71.80551667,1,25
25,47,7,42.13923611,-72.68988056,2,40
25,47,7,42.13923611,-72.68988056,2,43
25,48,16,42.04011944,-71.09030833,1,7
25,48,16,42.04011944,-71.09030833,1,28
25,48,16,42.04011944,-71.09030833,1,83
